계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,202601
인건비,인건비,53010101,급료와임금,F02900,공통_AX팀,73214580.0
인건비,인건비,53010101,급료와임금,F03000,공통_AI 엔지니어링팀,34430981.0
인건비,인건비,53010101,급료와임금,F03200,공통_PI팀,8116583.0
인건비,인건비,53010101,급료와임금,F03300,공통_무역팀,36730800.0
인건비,인건비,53010101,급료와임금,F03400,공통_자산관리팀,14923109.0
인건비,인건비,53010101,급료와임금,F03700,공통_통합인테리어팀,15080523.0
인건비,인건비,53010101,급료와임금,F03900,공통_퍼포먼스마케팅팀,47739898.0
인건비,인건비,53010101,급료와임금,F04400,공통_통합영업팀,27956245.0
인건비,인건비,53010101,급료와임금,F04500,공통_통합소싱팀,54934653.0
인건비,인건비,53010101,급료와임금,F04800,공통_해외사업팀,47575640.0
인건비,인건비,53010101,급료와임금,F05100,공통_마케팅본부,141115316.0
인건비,인건비,53010101,급료와임금,F05200,공통_통합온라인채널팀,20410397.0
인건비,인건비,53010103,제수당,F00200,공통_경영개선팀,7601606.0
인건비,인건비,53010103,제수당,F00300,공통_총무,21880139.0
인건비,인건비,53010103,제수당,F00400,공통_법무팀,10873769.0
인건비,인건비,53010103,제수당,F00500,공통_HR팀,13648146.0
인건비,인건비,53010103,제수당,F00600,공통_공간기획팀,12477766.0
인건비,인건비,53010103,제수당,F00700,공통_회계팀,16733459.0
인건비,인건비,53010103,제수당,F00800,공통_경영관리팀,23000159.0
인건비,인건비,53010103,제수당,F01200,공통_e-BIZ팀,28758981.0
인건비,인건비,53010103,제수당,F01300,공통_IT팀,70196783.0
인건비,인건비,53010103,제수당,F01800,공통_소비자전략팀,4157299.0
인건비,인건비,53010103,제수당,F02300,공통_안전보건팀,2772477.0
인건비,인건비,53010103,제수당,F02400,공통_경영기획팀,7279766.0
인건비,인건비,53010103,제수당,F02500,공통_자금팀,11820764.0
인건비,인건비,53010103,제수당,F02600,공통_정보보안팀,8853549.0
인건비,인건비,53010103,제수당,F02900,공통_AX팀,23715689.0
인건비,인건비,53010103,제수당,F03000,공통_AI 엔지니어링팀,12934897.0
인건비,인건비,53010103,제수당,F03200,공통_PI팀,723000.0
인건비,인건비,53010103,제수당,F03300,공통_무역팀,11010538.0
인건비,인건비,53010103,제수당,F03400,공통_자산관리팀,4189642.0
인건비,인건비,53010103,제수당,F03700,공통_통합인테리어팀,4219313.0
인건비,인건비,53010103,제수당,F03900,공통_퍼포먼스마케팅팀,15548092.0
인건비,인건비,53010103,제수당,F04400,공통_통합영업팀,10604677.0
인건비,인건비,53010103,제수당,F04500,공통_통합소싱팀,17134403.0
인건비,인건비,53010103,제수당,F04800,공통_해외사업팀,15277802.0
인건비,인건비,53010103,제수당,F05100,공통_마케팅본부,47344220.0
인건비,인건비,53010103,제수당,F05200,공통_통합온라인채널팀,7947475.0
인건비,인건비,53010105,잡급,F01800,공통_소비자전략팀,2833334.0
인건비,인건비,53010105,잡급,F03700,공통_통합인테리어팀,3000001.0
인건비,인건비,53010105,잡급,F05100,공통_마케팅본부,19612231.0
인건비,인건비,53010107,임원급여,F00100,공통_임원,275747822.0
인건비,인건비,53030101,퇴직급여충당금전입액,F00100,공통_임원,34468478.0
인건비,인건비,53030101,퇴직급여충당금전입액,F00200,공통_경영개선팀,3816653.0
인건비,인건비,53030101,퇴직급여충당금전입액,F00300,공통_총무,8615361.0
인건비,인건비,53030101,퇴직급여충당금전입액,F00400,공통_법무팀,6286005.0
인건비,인건비,53030101,퇴직급여충당금전입액,F00500,공통_HR팀,9488110.0
인건비,인건비,53030101,퇴직급여충당금전입액,F00600,공통_공간기획팀,5528613.0
인건비,인건비,53030101,퇴직급여충당금전입액,F00700,공통_회계팀,8532872.0
인건비,인건비,53030101,퇴직급여충당금전입액,F00800,공통_경영관리팀,10522220.0
인건비,인건비,53030101,퇴직급여충당금전입액,F01200,공통_e-BIZ팀,10208095.0
인건비,인건비,53030101,퇴직급여충당금전입액,F01300,공통_IT팀,43179490.0
인건비,인건비,53030101,퇴직급여충당금전입액,F01800,공통_소비자전략팀,2076180.0
인건비,인건비,53030101,퇴직급여충당금전입액,F02300,공통_안전보건팀,1344734.0
인건비,인건비,53030101,퇴직급여충당금전입액,F02400,공통_경영기획팀,3884619.0
인건비,인건비,53030101,퇴직급여충당금전입액,F02500,공통_자금팀,6527258.0
인건비,인건비,53030101,퇴직급여충당금전입액,F02600,공통_정보보안팀,4478539.0
인건비,인건비,53030101,퇴직급여충당금전입액,F02900,공통_AX팀,12116284.0
인건비,인건비,53030101,퇴직급여충당금전입액,F03000,공통_AI 엔지니어링팀,5920735.0
인건비,인건비,53030101,퇴직급여충당금전입액,F03200,공통_PI팀,1104948.0
인건비,인건비,53030101,퇴직급여충당금전입액,F03300,공통_무역팀,5967667.0
인건비,인건비,53030101,퇴직급여충당금전입액,F03400,공통_자산관리팀,2389094.0
인건비,인건비,53030101,퇴직급여충당금전입액,F03700,공통_통합인테리어팀,2412480.0
인건비,인건비,53030101,퇴직급여충당금전입액,F03900,공통_퍼포먼스마케팅팀,7910999.0
인건비,인건비,53030101,퇴직급여충당금전입액,F04400,공통_통합영업팀,4820115.0
인건비,인건비,53030101,퇴직급여충당금전입액,F04500,공통_통합소싱팀,9008632.0
인건비,인건비,53030101,퇴직급여충당금전입액,F04800,공통_해외사업팀,7856680.0
인건비,인건비,53030101,퇴직급여충당금전입액,F05100,공통_마케팅본부,23557442.0
인건비,인건비,53030101,퇴직급여충당금전입액,F05200,공통_통합온라인채널팀,3544734.0
인건비,인건비,55010105,복리후생비_의료보험,F00100,공통_임원,6315360.0
인건비,인건비,55010105,복리후생비_의료보험,F00200,공통_경영개선팀,1179110.0
인건비,인건비,55010105,복리후생비_의료보험,F00300,공통_총무,2403700.0
인건비,인건비,55010105,복리후생비_의료보험,F00400,공통_법무팀,1943540.0
인건비,인건비,55010105,복리후생비_의료보험,F00500,공통_HR팀,2958810.0
인건비,인건비,55010105,복리후생비_의료보험,F00600,공통_공간기획팀,1611220.0
인건비,인건비,55010105,복리후생비_의료보험,F00700,공통_회계팀,2680290.0
인건비,인건비,55010105,복리후생비_의료보험,F00800,공통_경영관리팀,4236250.0
인건비,인건비,55010105,복리후생비_의료보험,F01200,공통_e-BIZ팀,2249160.0
인건비,인건비,55010105,복리후생비_의료보험,F01300,공통_IT팀,14333650.0
